,date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied
223,2020-12-06,ME,23,13348,227,1871,1869,1873,65.24,64.57,65.9,2868,2857,2879,212,211,214,7.41,7.01,7.81,2868,2857,2879,229,228,230,73.16,71.92,74.41,313,312,314
224,2020-12-06,MD,24,215348,4846,7715,7631,7799,80.05,77.31,82.78,9638,9535,9741,1864,1842,1886,19.34,17.94,20.74,9638,9535,9741,1023,1015,1031,78.94,76.94,80.93,1296,1285,1307
225,2020-12-06,MA,25,256844,11004,11283,11283,11283,71.1,71.1,71.1,15869,15869,15869,1378,1378,1378,8.68,8.68,8.68,15869,15869,15869,1026,1026,1026,63.41,63.41,63.41,1618,1618,1618
226,2020-12-06,MI,26,426124,10313,15378,15298,15458,75.47,74.29,76.66,20375,20286,20464,3988,3968,4007,19.57,18.98,20.16,20375,20286,20464,2096,2088,2103,81.95,81.12,82.78,2557,2549,2565
227,2020-12-06,MN,27,350921,4043,6995,6986,7004,71.68,71.68,71.68,9758,9749,9767,1776,1774,1777,18.2,18.2,18.2,9758,9749,9767,718,717,719,75.18,75.18,75.18,955,955,955
228,2020-12-06,MS,28,164931,3961,4841,4835,4847,61.12,61.12,61.12,7920,7910,7930,1143,1132,1154,14.46,14.46,14.46,7920,7910,7930,678,677,679,81.1,81.1,81.1,836,836,836
229,2020-12-06,MO,29,337927,4420,10632,10632,10632,77.32,77.32,77.32,13750,13750,13750,2510,2509,2511,18.25,18.25,18.25,13750,13750,13750,1505,1505,1505,85.61,85.61,85.61,1758,1758,1758
230,2020-12-06,MT,30,67875,736,1835,1835,1835,64.21,64.21,64.21,2858,2858,2858,391,391,391,13.68,13.68,13.68,2858,2858,2858,164,164,164,73.54,73.54,73.54,223,223,223
231,2020-12-06,NE,31,140318,1219,3046,3038,3054,65.2,64.65,65.74,4672,4663,4681,778,776,779,16.93,16.71,17.16,4672,4663,4681,395,394,396,69.79,69.27,70.3,566,565,567
232,2020-12-06,NV,32,168758,2318,5889,5889,5889,79.82,79.82,79.82,7378,7378,7378,1777,1777,1777,24.65,24.65,24.65,7378,7378,7378,793,793,793,86.76,86.76,86.76,914,914,914
